id;user_id;mobile_no;device_id;verification_code;status
1;9797;Jewelery Cotton;distributed;National relationships;32450
2;92101;transform;Gibraltar Pound Fantastic;out-of-the-box;38704
3;29610;Intelligent;Forint Buckinghamshire;bypass hack time-frame;8581
4;65225;Investor Planner Supervisor;Ports Metal Sausages;model;94948
5;98305;Dale New Jersey;Tactics;override monetize;43666
6;94790;Savings Account SCSI Palladium;United States of America;Central;1185
7;60583;intermediate Cotton;SSL;invoice;10458
8;26992;Home Loan Account Equatorial Guinea Secured;web-enabled Applications matrix;auxiliary withdrawal payment;38584
9;16863;Analyst bypass Frozen;Associate;Credit Card Account;5014
10;9248;Credit Card Account Compatible zero administration;Grocery magenta;compress fuchsia Granite;13604
